,0
292,"Genre
--"
293,"Genre
PVP"
294,"Genre
--"
295,"Genre
--"
296,"Genre
--"
297,"Genre
--"
298,"Genre
--"
299,"Genre
--"
300,"Genre
--"
301,"Genre
--"
302,"Genre
--"
303,"Genre
--"
304,"Genre
--"
305,"Genre
--"
306,"Genre
--"
307,"Genre
MMO"
308,"Genre
--"
309,"Genre
--"
310,"Genre
--"
311,"Genre
--"
312,"Genre
CARD"
313,"Genre
--"
314,"Genre
--"
315,"Genre
--"
316,"Genre
--"
317,"Genre
SLG"
318,"Genre
--"
319,"Genre
--"
320,"Genre
--"
321,"Genre
AUTO-BATTLER"
322,"Genre
--"
323,"Genre
--"
324,"Genre
--"
325,"Genre
--"
326,"Genre
--"
327,error
328,error
329,"Genre
--"
330,"Genre
OPEN-WORLD"
331,"Genre
RPG"
332,"Genre
--"
333,"Genre
--"
334,"Genre
AUTO-BATTLER"
335,"Genre
--"
336,"Genre
--"
337,"Genre
VR"
338,"Genre
--"
339,"Genre
ACTION GAME"
340,"Genre
--"
341,"Genre
--"
342,"Genre
PVP"
343,"Genre
--"
344,"Genre
--"
345,"Genre
ACTION"
346,error
347,"Genre
--"
348,"Genre
ESPORTS"
349,"Genre
--"
350,"Genre
--"
351,error
352,error
353,error
354,error
355,error
356,error
357,"Genre
--"
358,"Genre
--"
359,"Genre
--"
360,"Genre
PVP"
361,"Genre
--"
362,"Genre
--"
363,"Genre
DeFi + NFT"
364,"Genre
--"
365,"Genre
--"
366,"Genre
--"
367,"Genre
--"
368,"Genre
COLLECTIBLE"
369,"Genre
--"
370,"Genre
--"
371,"Genre
--"
372,"Genre
--"
373,"Genre
--"
374,"Genre
RPG game"
375,"Genre
--"
376,"Genre
--"
377,"Genre
--"
378,"Genre
--"
379,"Genre
--"
380,"Genre
--"
381,"Genre
--"
382,"Genre
RPG game"
383,"Genre
VIRTUAL-WORLD"
384,"Genre
--"
385,"Genre
MMORPG"
386,"Genre
--"
387,"Genre
--"
388,"Genre
--"
389,"Genre
Card Game"
390,"Genre
--"
391,"Genre
--"
392,"Genre
--"
393,"Genre
SLG"
394,error
395,"Genre
--"
396,"Genre
--"
397,"Genre
MMORPG"
398,"Genre
RPG"
399,"Genre
--"
400,"Genre
--"
401,"Genre
--"
402,"Genre
--"
403,"Genre
--"
404,"Genre
--"
405,"Genre
--"
406,"Genre
--"
407,"Genre
--"
408,"Genre
ACTION GAME"
409,"Genre
--"
410,"Genre
--"
411,"Genre
--"
412,"Genre
--"
413,"Genre
--"
414,"Genre
PVP"
415,"Genre
RPG game"
416,"Genre
--"
417,"Genre
--"
418,"Genre
--"
419,"Genre
--"
420,"Genre
card strategy"
421,"Genre
DEFI"
422,"Genre
--"
423,error
424,error
425,"Genre
--"
426,"Genre
--"
427,"Genre
--"
428,"Genre
--"
429,"Genre
Social Leisure Game, SLG"
430,"Genre
--"
431,"Genre
--"
432,"Genre
--"
433,"Genre
NFT game"
434,"Genre
--"
435,"Genre
OPEN-WORLD"
436,"Genre
--"
437,"Genre
ARCADE"
438,"Genre
RPG game"
439,"Genre
--"
440,"Genre
RPG game"
441,"Genre
DEFI"
442,"Genre
OPEN-WORLD"
443,"Genre
--"
444,"Genre
--"
445,"Genre
--"
446,"Genre
--"
447,error
448,"Genre
--"
449,"Genre
--"
450,"Genre
OPEN-WORLD"
451,"Genre
--"
452,"Genre
--"
453,"Genre
--"
454,"Genre
--"
455,"Genre
--"
456,"Genre
--"
457,"Genre
--"
458,"Genre
SCI-FI"
459,"Genre
--"
460,"Genre
--"
461,"Genre
multiplayer builder game"
462,"Genre
--"
463,"Genre
--"
464,"Genre
--"
465,"Genre
--"
466,"Genre
--"
467,"Genre
--"
468,"Genre
--"
469,"Genre
--"
470,"Genre
NFT Metaverse"
471,"Genre
--"
472,"Genre
--"
473,"Genre
--"
474,"Genre
ACTION GAME"
475,"Genre
ADVENTURE"
476,"Genre
--"
477,"Genre
Move to earn"
